Participant,Temperature,Brand,Rating
Rishabh,Cold,7-Eleven,2
Andre,Cold,7-Eleven,4
Soohyun,Cold,7-Eleven,2
Anya,Cold,7-Eleven,3
Kevin,Cold,7-Eleven,8
Amir,Cold,7-Eleven,5
Lauren,Cold,7-Eleven,2
Liz,Cold,7-Eleven,3
Rishabh,Cold,Krispy Kreme,4
Andre,Cold,Krispy Kreme,5
Soohyun,Cold,Krispy Kreme,6
Anya,Cold,Krispy Kreme,2
Kevin,Cold,Krispy Kreme,3
Amir,Cold,Krispy Kreme,3
Lauren,Cold,Krispy Kreme,3
Liz,Cold,Krispy Kreme,3
Rishabh,Cold,Macrina,3
Andre,Cold,Macrina,3
Soohyun,Cold,Macrina,7
Anya,Cold,Macrina,2
Kevin,Cold,Macrina,2
Amir,Cold,Macrina,4
Lauren,Cold,Macrina,4
Liz,Cold,Macrina,2
Rishabh,Cold,Starbucks,1
Andre,Cold,Starbucks,5
Soohyun,Cold,Starbucks,5
Anya,Cold,Starbucks,2
Kevin,Cold,Starbucks,4
Amir,Cold,Starbucks,1
Lauren,Cold,Starbucks,5
Liz,Cold,Starbucks,4
Rishabh,Cold,McDonalds,2
Andre,Cold,McDonalds,4
Soohyun,Cold,McDonalds,6
Anya,Cold,McDonalds,2
Kevin,Cold,McDonalds,7
Amir,Cold,McDonalds,5
Lauren,Cold,McDonalds,5
Liz,Cold,McDonalds,3
